                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98743,                 1.3312,                 1.3433,                0.83411,                0.77273,                0.82893,                0.54705,                 2.2497,                  1.729,                 2.5632,              0.0005001,              0.0005001,              0.0005001
                      1,                 1.0038,                  1.338,                 1.3394,                0.71495,                0.70455,                0.69978,                0.48105,                 2.3804,                 1.9528,                 2.7617,              0.0009844,              0.0009844,              0.0009844
                      2,                 1.0403,                 1.3888,                 1.3752,                0.65633,                0.52273,                0.62508,                0.39512,                 1.6252,                 2.4811,                 1.7893,              0.0014357,              0.0014357,              0.0014357
                      3,                 1.0806,                 1.4266,                 1.3973,                0.71251,                0.54545,                0.64636,                0.35904,                 1.7663,                 2.4244,                 1.9309,              0.0015073,              0.0015073,              0.0015073
                      4,                 1.0837,                 1.4252,                 1.3997,                0.77624,                0.61364,                0.68991,                0.39705,                 1.6332,                 2.6983,                 1.8467,              0.0015073,              0.0015073,              0.0015073
                      5,                 1.0585,                 1.4119,                 1.3814,                 0.6582,                0.36364,                  0.467,                0.29315,                 2.7122,                  4.242,                 3.0542,              0.0014541,              0.0014541,              0.0014541
                      6,                 1.1626,                 1.5167,                 1.4745,                0.60969,                0.81818,                0.72369,                0.37431,                 2.3349,                 1.7536,                 2.6348,              0.0014008,              0.0014008,              0.0014008
                      7,                 1.0988,                 1.4592,                  1.404,                0.71353,                0.62285,                0.70879,                 0.4091,                 2.2834,                 2.8343,                 2.5207,              0.0013476,              0.0013476,              0.0013476
                      8,                 1.0767,                 1.4098,                 1.4108,                0.72465,                0.61364,                0.66286,                0.44098,                 2.0099,                 2.4535,                 2.1056,              0.0012943,              0.0012943,              0.0012943
                      9,                 1.0648,                 1.3869,                  1.363,                0.63685,                0.63774,                0.65329,                 0.3924,                 1.9008,                 2.2087,                 2.0833,              0.0012411,              0.0012411,              0.0012411
                     10,                 1.0882,                 1.4673,                 1.4062,                0.61248,                0.38636,                0.41492,                0.18433,                 2.4373,                 2.6273,                  2.903,              0.0011879,              0.0011879,              0.0011879
                     11,                 1.0335,                 1.4298,                 1.3645,                0.70523,                0.68182,                0.72126,                0.43695,                 2.3861,                 2.1162,                 2.9757,              0.0011346,              0.0011346,              0.0011346
                     12,                 1.0777,                 1.3867,                 1.3982,                0.77956,                0.64312,                0.76708,                0.41117,                 2.3656,                 2.1239,                 2.9088,              0.0010814,              0.0010814,              0.0010814
                     13,                 0.9962,                 1.3581,                 1.3401,                0.71043,                0.70455,                0.72478,                0.40727,                 2.3166,                 2.6248,                 2.8505,              0.0010282,              0.0010282,              0.0010282
                     14,                 1.0702,                 1.3949,                 1.3954,                0.66967,                0.61364,                0.62914,                0.43466,                 1.4026,                 2.9558,                 1.7217,             0.00097493,             0.00097493,             0.00097493
                     15,                0.98602,                  1.289,                 1.3321,                0.72786,                0.72948,                 0.7433,                0.48547,                 2.2435,                 1.4052,                 2.5268,             0.00092169,             0.00092169,             0.00092169
                     16,                 1.0164,                 1.3088,                 1.3461,                0.84127,                0.68182,                0.76235,                 0.5131,                   2.29,                 1.8216,                 2.6896,             0.00086845,             0.00086845,             0.00086845
                     17,                0.97425,                 1.2713,                 1.3218,                 0.7518,                   0.75,                0.78723,                0.53678,                 2.1835,                 1.2637,                 2.4822,             0.00081522,             0.00081522,             0.00081522
                     18,                0.92922,                 1.2296,                 1.3068,                0.73224,                0.74592,                0.75176,                0.50171,                 2.0081,                 3.6619,                 2.1946,             0.00076198,             0.00076198,             0.00076198
                     19,                0.98742,                 1.2478,                 1.3326,                0.81468,                0.77273,                0.81159,                0.56097,                 2.2795,                 1.3101,                  2.424,             0.00070874,             0.00070874,             0.00070874
                     20,                0.95558,                 1.2744,                 1.3119,                0.83989,                0.71548,                0.75733,                0.48189,                 1.9178,                 2.1382,                 1.9636,             0.00065551,             0.00065551,             0.00065551
                     21,                0.95039,                 1.2914,                  1.404,                0.78151,                   0.75,                0.77522,                0.55356,                 1.2116,                 2.2935,                 1.6709,             0.00060227,             0.00060227,             0.00060227
