                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.54896,                  1.389,                 1.0905,                0.61484,                    0.8,                0.76054,                0.47616,                 1.0949,                 3.7344,                 1.5428,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                 0.4377,                  1.123,                0.98038,                0.67316,                    0.8,                0.76958,                0.53302,                 1.0471,                 4.3492,                 1.4634,              4.968e-05,              4.968e-05,              4.968e-05
                      2,                0.48637,                0.91819,                 1.0014,                0.66547,                0.89534,                0.78372,                0.57164,                0.98766,                 3.6626,                 1.4039,              8.225e-05,              8.225e-05,              8.225e-05
                      3,                 0.4118,                0.94185,                0.96073,                0.75588,                   0.95,                0.80748,                0.50506,                 1.1707,                 3.1465,                 1.5818,             0.00011438,             0.00011438,             0.00011438
                      4,                0.43716,                0.85156,                0.98936,                0.77907,                   0.95,                0.84649,                0.46269,                 1.3597,                 3.4215,                 1.8121,             0.00014607,             0.00014607,             0.00014607
                      5,                 0.4832,                0.93039,                0.97783,                0.75609,                0.77557,                0.79425,                 0.3823,                 1.6069,                  3.734,                 2.2296,             0.00017732,             0.00017732,             0.00017732
                      6,                0.76621,                 1.0905,                 1.1818,                0.67084,                   0.75,                0.74534,                0.40743,                 1.5574,                 5.4902,                 2.1985,             0.00020813,             0.00020813,             0.00020813
                      7,                 0.4834,                 0.8253,                 1.0172,                0.48139,                   0.65,                0.65259,                0.30017,                  1.573,                 7.4918,                 2.2512,              0.0002385,              0.0002385,              0.0002385
                      8,                0.52857,                0.95005,                 1.0895,                  0.466,                   0.65,                0.56874,                0.20934,                 1.5663,                 8.3973,                 2.1773,             0.00026843,             0.00026843,             0.00026843
                      9,                0.66102,                 1.1676,                 1.0931,                0.80054,                    0.7,                0.73557,                0.25137,                 1.7076,                 7.0103,                 2.2317,             0.00029792,             0.00029792,             0.00029792
                     10,                0.60593,                 1.1765,                  1.056,                0.75308,                    0.8,                0.69834,                0.25058,                 2.0195,                 5.6728,                 2.5442,             0.00032697,             0.00032697,             0.00032697
                     11,                0.63715,                0.89709,                 1.1238,                0.66325,                0.68975,                0.59102,                0.16302,                 2.3599,                 6.8648,                 2.8029,             0.00035557,             0.00035557,             0.00035557
                     12,                0.64112,                0.93991,                 1.0786,                0.30224,                    0.6,                0.26799,                0.08648,                 2.7384,                 10.953,                 3.3053,             0.00038374,             0.00038374,             0.00038374
