                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                0.62198,                0.91966,                 1.0946,                0.21731,                    0.6,                0.21973,                0.07328,                 2.6028,                 16.173,                 3.1883,             0.00041147,             0.00041147,             0.00041147
                     14,                0.64659,                  1.011,                 1.0974,                0.45555,                    0.4,                0.31674,                0.08784,                 2.6241,                 13.332,                  3.387,             0.00043876,             0.00043876,             0.00043876
                     15,                0.68573,                 1.0419,                 1.0928,                0.25471,                   0.45,                 0.2342,                0.06875,                 2.2953,                 14.526,                 3.0386,             0.00046561,             0.00046561,             0.00046561
                     16,                0.63158,                0.86557,                 1.0892,                0.57143,                    0.2,                0.31305,                0.09867,                 1.9445,                 19.794,                 2.9288,             0.00049202,             0.00049202,             0.00049202
                     17,                0.67868,                 1.1483,                 1.1194,                0.13852,                   0.45,                0.25607,                0.06467,                 2.2208,                 16.762,                 3.0669,             0.00051799,             0.00051799,             0.00051799
                     18,                0.54898,                0.90522,                 1.0291,                0.11175,                    0.4,                0.11957,                0.04156,                 2.4601,                 18.963,                  3.193,             0.00054352,             0.00054352,             0.00054352
                     19,                0.68467,                0.94455,                 1.1034,                0.11465,                0.46633,                0.10075,                0.03288,                 2.5383,                  15.56,                  3.238,              0.0005686,              0.0005686,              0.0005686
                     20,                0.74441,                0.94131,                 1.1303,                0.15836,                    0.5,                0.22121,                0.05288,                  2.092,                 15.924,                 2.7499,             0.00059325,             0.00059325,             0.00059325
                     21,                 0.9023,                0.97453,                 1.2851,                   0.75,                   0.15,                0.27289,                0.12258,                 2.0982,                 20.877,                 2.7672,             0.00061746,             0.00061746,             0.00061746
                     22,                0.90392,                 1.0012,                  1.255,                0.10672,                   0.35,                0.10703,                0.03917,                 2.4365,                 25.015,                 3.3629,             0.00064123,             0.00064123,             0.00064123
                     23,                0.80171,                0.93432,                  1.108,                0.09854,                   0.35,                0.06611,                0.02243,                 2.7874,                 32.591,                 4.0534,             0.00066456,             0.00066456,             0.00066456
                     24,                0.79253,                0.82975,                 1.0789,                0.06835,                    0.3,                0.02858,                0.00607,                 3.1953,                 62.441,                 4.9629,             0.00068744,             0.00068744,             0.00068744
                     25,                 1.0106,                 1.1934,                 1.3897,                0.00168,                   0.05,                0.00025,                  5e-05,                  3.326,                 89.727,                 5.8677,             0.00070989,             0.00070989,             0.00070989
                     26,                0.89545,                  1.085,                 1.2407,                0.00397,                    0.1,                0.00073,                0.00026,                 3.3394,                 82.559,                 4.2931,              0.0007319,              0.0007319,              0.0007319
                     27,                0.89191,                 1.1011,                 1.3679,                0.00412,                    0.1,                0.00065,                0.00023,                 3.3394,                 82.559,                 4.2931,             0.00075347,             0.00075347,             0.00075347
                     28,                0.71562,                0.88236,                 1.1363,                 0.0379,                   0.25,                0.01505,                0.00321,                 2.9855,                 60.443,                  3.939,             0.00077459,             0.00077459,             0.00077459
                     29,                0.77555,                0.91696,                 1.2217,                0.05211,                    0.2,                0.01293,                0.00346,                 3.0072,                 29.564,                 4.1053,             0.00079528,             0.00079528,             0.00079528
                     30,                0.73139,                 1.1207,                 1.2151,                0.05211,                    0.2,                0.01293,                0.00346,                 3.0072,                 29.564,                 4.1053,             0.00081553,             0.00081553,             0.00081553
                     31,                0.89454,                 1.0577,                 1.1872,                0.00837,                    0.1,                0.00239,                0.00058,                    3.1,                 59.714,                 4.8213,             0.00083534,             0.00083534,             0.00083534
                     32,                0.88937,                0.86484,                 1.2607,                0.00228,                    0.1,                0.00095,                0.00038,                 3.4169,                  331.8,                 9.7062,              0.0008547,              0.0008547,              0.0008547
                     33,                0.90442,                 1.3764,                 1.2555,                0.00228,                    0.1,                0.00095,                0.00038,                 3.4169,                  331.8,                 9.7062,             0.00087363,             0.00087363,             0.00087363
                     34,                0.95372,                 1.2186,                 1.3712,                0.01236,                   0.15,                0.00369,                0.00101,                 3.1243,                 30.551,                 5.1025,             0.00089212,             0.00089212,             0.00089212
                     35,                0.88717,                 1.0671,                 1.2173,                 0.0634,                    0.1,                0.03456,                0.01215,                 3.3272,                 16.956,                 4.5882,             0.00091017,             0.00091017,             0.00091017
                     36,                0.81227,                 1.0734,                 1.2063,                 0.0634,                    0.1,                0.03456,                0.01215,                 3.3272,                 16.956,                 4.5882,             0.00092777,             0.00092777,             0.00092777
                     37,                 1.1242,                  1.303,                 1.5217,                 0.1957,                    0.2,                0.12175,                0.06406,                 2.5764,                 9.5526,                 3.8628,             0.00094494,             0.00094494,             0.00094494
                     38,                 1.0281,                 1.1498,                 1.2924,                0.10492,                    0.3,                0.06552,                0.01929,                 2.9682,                 11.289,                 4.7704,             0.00096167,             0.00096167,             0.00096167
                     39,                0.86575,                 1.0849,                 1.2445,                0.10492,                    0.3,                0.06552,                0.01929,                 2.9682,                 11.289,                 4.7704,             0.00097795,             0.00097795,             0.00097795
                     40,                0.99611,                 1.0547,                 1.5196,                 0.0675,                    0.1,                0.01811,                0.00304,                 3.4369,                 16.624,                 5.5211,              0.0009938,              0.0009938,              0.0009938
                     41,                 1.1903,                 1.1941,                 1.5626,                0.03758,                   0.05,                0.00499,                0.00175,                 3.4467,                 11.929,                 4.4278,              0.0010092,              0.0010092,              0.0010092
                     42,                 1.1346,                 1.5008,                  1.384,                0.03758,                   0.05,                0.00499,                0.00175,                 3.4467,                 11.929,                 4.4278,              0.0010242,              0.0010242,              0.0010242
                     43,                 1.2447,                 1.5305,                 1.4786,                      1,                   0.05,                0.05007,                0.01604,                 3.5485,                 23.823,                 5.9674,              0.0010387,              0.0010387,              0.0010387
                     44,                 1.1571,                 1.2762,                 1.4728,                      1,                   0.05,                0.05007,                0.01604,                 3.5485,                 23.823,                 5.9674,              0.0010528,              0.0010528,              0.0010528
                     45,                 1.2132,                 1.3044,                 1.4222,                0.05268,                    0.2,                0.01519,                0.00469,                   3.44,                 26.503,                 6.0854,              0.0010664,              0.0010664,              0.0010664
                     46,                 1.2156,                 1.1722,                 1.4744,                0.05268,                    0.2,                0.01519,                0.00469,                   3.44,                 26.503,                 6.0854,              0.0010796,              0.0010796,              0.0010796
                     47,                 1.2135,                 1.1722,                 1.4428,                0.03604,                    0.2,                0.03278,                0.00576,                 3.1664,                 188.52,                 8.1071,              0.0010924,              0.0010924,              0.0010924
                     48,                 1.0264,                 1.1182,                 1.3794,                0.03604,                    0.2,                0.03278,                0.00576,                 3.1664,                 188.52,                 8.1071,              0.0011047,              0.0011047,              0.0011047
                     49,                 1.0651,                  1.318,                 1.4304,                0.03961,                    0.5,                0.02767,                0.00957,                 2.7843,                  167.1,                 6.0783,              0.0011166,              0.0011166,              0.0011166
                     50,                0.88251,                 1.1429,                 1.1972,                0.03961,                    0.5,                0.02767,                0.00957,                 2.7843,                  167.1,                 6.0783,              0.0011169,              0.0011169,              0.0011169
                     51,                 1.0835,                 1.1521,                 1.2702,                0.00788,                    0.4,                0.04995,                0.01081,                 3.3644,                 339.66,                 6.2879,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.0903,                 1.3073,                 1.3975,                0.00788,                    0.4,                0.04995,                0.01081,                 3.3644,                 339.66,                 6.2879,              0.0011059,              0.0011059,              0.0011059
