                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1104,                  1.551,                 1.4568,                0.74131,                0.77273,                0.78968,                 0.5166,                 2.2773,                 1.3368,                 2.4445,              0.0005001,              0.0005001,              0.0005001
                      1,                 1.1223,                  1.511,                 1.4439,                0.69008,                 0.6579,                 0.6081,                0.36487,                 2.3668,                 1.8285,                 2.5679,             0.00098331,             0.00098331,             0.00098331
                      2,                 1.2237,                 1.5846,                 1.4979,                0.74498,                0.59768,                0.65729,                0.34089,                 2.4057,                 1.7156,                 2.6789,              0.0014324,              0.0014324,              0.0014324
                      3,                 1.2006,                 1.5759,                 1.4992,                0.61918,                    0.5,                0.53531,                0.28255,                 1.8939,                 4.9033,                 2.2539,               0.001502,               0.001502,               0.001502
                      4,                  1.175,                 1.5781,                 1.4879,                0.41368,                0.54545,                 0.3961,                 0.1941,                 2.0821,                 3.6739,                 2.3438,               0.001502,               0.001502,               0.001502
                      5,                   1.16,                 1.5806,                 1.4717,                0.71165,                0.54545,                0.61467,                0.37793,                 2.1372,                 2.0716,                 2.4118,               0.001447,               0.001447,               0.001447
                      6,                 1.2201,                 1.6949,                 1.5228,                0.61176,                0.59091,                0.58077,                0.35294,                 1.3804,                 3.8301,                 1.6894,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.2045,                 1.5984,                 1.4836,                0.74031,                0.70455,                0.74151,                 0.4461,                 2.2118,                 2.2345,                 2.5853,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.1582,                 1.5191,                 1.4666,                0.77889,                0.79545,                0.77619,                0.48521,                  2.047,                 2.1251,                 2.2249,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.1411,                 1.5258,                 1.4173,                 0.5635,                0.43182,                 0.5058,                0.27909,                 1.8157,                 2.4405,                 1.9695,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.1716,                  1.584,                 1.4728,                0.78208,                   0.75,                0.80717,                0.46257,                 1.7924,                  2.548,                 2.0009,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.0917,                 1.5005,                 1.4072,                0.68433,                0.63636,                0.68261,                0.43891,                 2.2064,                 2.0639,                 2.5006,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1189,                  1.472,                 1.4346,                0.73181,                0.61364,                0.65164,                0.35619,                  2.413,                 1.8668,                 2.5871,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.0772,                 1.4425,                 1.4103,                0.75101,                0.70455,                0.68951,                0.41817,                 2.3897,                 2.6259,                 2.8107,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1149,                 1.4488,                  1.429,                0.82155,                0.65909,                0.73149,                0.49534,                 2.2771,                 1.9145,                 2.5083,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.0322,                 1.3651,                 1.3712,                0.81954,                0.72727,                0.80726,                0.54623,                 2.2643,                 1.5492,                 2.5249,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.0415,                 1.3513,                 1.3607,                0.81721,                0.71136,                0.80283,                 0.5428,                  2.181,                 1.4628,                 2.4549,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.0115,                 1.3326,                 1.3474,                0.81852,                0.61364,                0.74427,                0.52947,                 2.1529,                 1.5676,                 2.3627,             0.00078682,             0.00078682,             0.00078682
                     18,                0.97643,                 1.2948,                  1.347,                0.76209,                0.58259,                0.66796,                0.43505,                 2.1913,                 3.2725,                 2.3569,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0432,                  1.327,                 1.3669,                0.73607,                0.77273,                0.73652,                0.47629,                  2.226,                 1.6286,                 2.5875,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.0335,                 1.3459,                 1.4568,                0.73355,                0.77273,                0.75531,                0.51773,                 2.1913,                 1.6141,                 2.6478,             0.00062179,             0.00062179,             0.00062179
