                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.84946,                  1.829,                 1.3171,                0.82692,                   0.65,                0.83616,                 0.6388,                0.91292,                  3.468,                 1.2473,              6.668e-05,              6.668e-05,              6.668e-05
                      1,                0.72722,                 1.4972,                 1.2185,                0.72953,                    0.6,                0.71067,                0.42515,                 1.1292,                 2.5097,                 1.3721,             0.00014706,             0.00014706,             0.00014706
                      2,                0.64769,                 1.2388,                 1.1502,                0.41607,                   0.55,                0.41915,                 0.2418,                 1.4182,                 6.3512,                 1.9166,             0.00022414,             0.00022414,             0.00022414
                      3,                0.72607,                 1.1941,                 1.1741,                0.34397,                    0.6,                0.40269,                0.20261,                 1.4243,                 15.978,                 1.7478,             0.00029792,             0.00029792,             0.00029792
                      4,                0.84247,                 1.1067,                 1.2575,                0.21357,                   0.75,                0.36759,                0.19713,                 1.4816,                  13.11,                 1.8785,             0.00036839,             0.00036839,             0.00036839
                      5,                0.82816,                 1.1945,                  1.211,                0.20896,                   0.55,                0.35156,                0.14391,                 2.0447,                 13.451,                 3.8639,             0.00043557,             0.00043557,             0.00043557
                      6,                0.83284,                 1.1843,                 1.2441,                0.66667,                    0.2,                0.38586,                0.21786,                  1.669,                 19.814,                 2.9501,             0.00049945,             0.00049945,             0.00049945
                      7,                0.85545,                 1.3257,                 1.2784,                0.22502,                   0.65,                0.49907,                0.19098,                 2.0006,                 14.691,                 3.2023,             0.00056002,             0.00056002,             0.00056002
                      8,                0.98715,                 1.3435,                 1.3781,                0.08708,                   0.55,                0.12501,                0.04631,                 2.3555,                 38.298,                 3.7151,              0.0006173,              0.0006173,              0.0006173
                      9,                0.93965,                 1.4252,                  1.352,                    0.6,                   0.15,                0.16115,                 0.0662,                 3.1092,                 21.661,                 3.9992,             0.00067127,             0.00067127,             0.00067127
                     10,                0.95406,                 1.1998,                 1.3161,                0.09138,                0.52812,                0.09262,                0.04745,                 2.4839,                 35.203,                 3.2224,             0.00072194,             0.00072194,             0.00072194
                     11,                0.84756,                  1.064,                  1.286,                  0.058,                   0.55,                0.05619,                0.01767,                 2.3215,                 73.737,                 4.5358,             0.00076932,             0.00076932,             0.00076932
                     12,                 1.0214,                 1.2032,                  1.399,                0.05258,                   0.65,                0.06062,                0.01663,                 2.1528,                 58.928,                 4.0946,             0.00081339,             0.00081339,             0.00081339
                     13,                0.98599,                  1.031,                 1.3443,                0.15385,                    0.3,                0.10385,                0.02512,                 2.4247,                 63.723,                 4.6162,             0.00085416,             0.00085416,             0.00085416
