                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.0776,                 1.2414,                 1.4322,                0.00819,                    0.4,                0.00731,                0.00236,                 2.9057,                 148.96,                 3.8338,             0.00089163,             0.00089163,             0.00089163
                     15,                 1.0984,                 1.2258,                 1.4545,                0.00817,                    0.5,                  0.008,                0.00201,                 2.9629,                 164.33,                 3.8931,              0.0009258,              0.0009258,              0.0009258
                     16,                0.99032,                 1.1553,                 1.3544,                0.02283,                   0.15,                0.01239,                0.00296,                 3.2892,                 25.602,                  3.719,             0.00095667,             0.00095667,             0.00095667
                     17,                 1.0676,                  1.207,                 1.4532,                0.00451,                    0.2,                0.00197,                0.00066,                 2.9569,                 124.49,                 3.9418,             0.00098424,             0.00098424,             0.00098424
                     18,                 1.0111,                 1.2785,                 1.3401,                0.00141,                    0.3,                0.00104,                0.00034,                 2.9827,                 1111.8,                 5.1392,              0.0010085,              0.0010085,              0.0010085
                     19,                 1.1125,                 1.4069,                 1.4607,                0.00258,                   0.25,                  0.002,                0.00069,                 3.4715,                 289.94,                 4.5168,              0.0010295,              0.0010295,              0.0010295
                     20,                 1.1647,                 1.3788,                 1.5141,                0.03225,                   0.25,                0.01594,                0.00516,                  3.008,                  25.26,                 4.5282,              0.0010069,              0.0010069,              0.0010069
                     21,                 1.0384,                 1.2463,                 1.4262,                0.08569,                   0.45,                 0.0612,                0.01529,                 3.3023,                 18.172,                  5.093,              0.0010069,              0.0010069,              0.0010069
                     22,                0.96518,                 1.1042,                 1.3481,                0.06017,                   0.25,                0.04079,                0.01108,                 3.1942,                 18.064,                  4.457,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2307,                 1.3285,                 1.5667,                0.12131,                   0.45,                0.15702,                0.05337,                  2.569,                 19.345,                 5.0395,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2179,                 1.3067,                 1.5533,                0.26051,                   0.65,                0.25971,                0.09072,                 2.4724,                  9.525,                 4.7373,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0967,                 1.2459,                 1.4512,                0.47992,                   0.65,                0.46364,                0.19517,                 1.9927,                 4.5103,                 3.3249,             0.00087484,             0.00087484,             0.00087484
                     26,                0.99946,                 1.1457,                 1.4146,                 0.3389,                   0.35,                0.30717,                0.10649,                 2.1412,                 4.5565,                 3.3915,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0578,                 1.3156,                 1.3936,                0.23396,                   0.35,                0.11495,                0.04282,                  2.639,                  5.376,                 3.5043,             0.00080883,             0.00080883,             0.00080883
                     28,                0.96785,                 1.1295,                 1.3514,                 0.3554,                0.55139,                 0.3663,                0.09875,                 2.4896,                 4.1469,                 3.4176,             0.00077582,             0.00077582,             0.00077582
                     29,                0.91854,                 1.0192,                 1.3073,                0.27668,                    0.6,                0.29453,                 0.1146,                 2.4411,                  3.788,                 3.6115,             0.00074282,             0.00074282,             0.00074282
                     30,                0.86079,                0.92755,                 1.2839,                0.38975,                    0.4,                0.37722,                0.13366,                 2.4199,                 4.1023,                 3.7596,             0.00070981,             0.00070981,             0.00070981
                     31,                0.83469,                0.95787,                 1.2856,                0.33275,                    0.8,                0.41125,                0.14371,                 2.0645,                 2.8695,                 3.0627,              0.0006768,              0.0006768,              0.0006768
                     32,                0.88112,                 1.0013,                 1.2675,                0.52005,                0.70444,                0.62415,                0.22833,                 2.0052,                 2.2193,                 2.7419,              0.0006438,              0.0006438,              0.0006438
                     33,                0.85846,                0.91545,                 1.2578,                0.61189,                    0.6,                0.64116,                0.25076,                 1.9786,                 2.1874,                  2.618,             0.00061079,             0.00061079,             0.00061079
                     34,                0.86777,                0.89599,                 1.2358,                0.66364,                   0.55,                0.58502,                0.22342,                 2.1964,                 2.5082,                 2.8014,             0.00057778,             0.00057778,             0.00057778
                     35,                 0.8373,                0.85271,                 1.2561,                0.68928,                    0.5,                 0.5611,                0.25368,                 1.9605,                 2.2642,                 2.2762,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.8401,                0.86217,                 1.2642,                0.56419,                   0.75,                0.65851,                0.28833,                 1.9071,                 1.7926,                 2.2437,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.7658,                0.76611,                  1.159,                0.58054,                    0.7,                0.68245,                0.30667,                 1.8328,                 1.6137,                 2.1924,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77235,                0.76073,                 1.1986,                 0.7612,                0.63809,                0.75502,                0.34912,                 1.8209,                 1.4819,                 2.2731,             0.00044576,             0.00044576,             0.00044576
                     39,                0.73295,                0.77218,                 1.2088,                0.58533,                    0.8,                0.71542,                0.29891,                 1.9619,                 1.5801,                 2.3762,             0.00041275,             0.00041275,             0.00041275
                     40,                0.81423,                 1.0786,                 1.2975,                0.57966,                   0.65,                0.56339,                0.21716,                 2.0628,                 1.8748,                 2.4712,             0.00037974,             0.00037974,             0.00037974
                     41,                0.76252,                0.83314,                 1.2604,                0.56562,                   0.65,                 0.5153,                0.18358,                 2.1374,                  2.001,                   2.58,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.7606,                0.72899,                 1.2616,                0.53493,                   0.65,                0.45186,                0.19649,                 2.0389,                 2.0187,                 2.4361,             0.00031373,             0.00031373,             0.00031373
                     43,                0.71903,                 0.8194,                 1.2302,                0.60403,                    0.7,                0.69107,                0.37386,                 1.7712,                  1.727,                 2.1418,             0.00028072,             0.00028072,             0.00028072
                     44,                0.75381,                0.78769,                 1.2807,                0.81604,                   0.65,                0.77706,                0.42352,                 1.6821,                 1.4039,                 2.0854,             0.00024772,             0.00024772,             0.00024772
                     45,                0.69549,                 0.7564,                 1.2259,                0.88351,                   0.65,                0.76826,                0.44955,                 1.6138,                 1.2056,                 2.0722,             0.00021471,             0.00021471,             0.00021471
                     46,                0.65309,                0.69277,                 1.1681,                0.86865,                    0.8,                0.86388,                0.48096,                  1.609,                 1.1391,                 2.0484,              0.0001817,              0.0001817,              0.0001817
                     47,                0.61437,                0.59322,                  1.104,                0.86494,                    0.7,                0.84064,                0.48024,                 1.5277,                 1.0898,                 2.0028,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.6834,                0.67607,                 1.2246,                 0.8875,                0.78937,                0.86135,                0.49303,                  1.515,                 1.1186,                 1.9818,             0.00011569,             0.00011569,             0.00011569
                     49,                0.64735,                0.65061,                  1.171,                0.94001,                0.78411,                0.87352,                0.50202,                 1.4926,                 1.1239,                 1.9378,             8.2683e-05,             8.2683e-05,             8.2683e-05
